date,pos,neg,neut
2021-11-17 12:24:56,158,61,231
date,pos,neg,neut
2021-11-17 13:00:23,143,73,234
2021-11-17 13:33:54,163,42,245
2021-11-17 13:48:09,141,55,254
2021-11-17 14:13:37,150,58,242
2021-11-17 14:50:58,130,71,249
2021-11-17 16:33:49,148,57,245
2021-11-17 17:07:57,164,66,220
2021-11-17 17:35:01,120,44,286
2021-11-17 18:11:40,144,51,255
2021-11-17 18:28:21,159,56,235
2021-11-17 18:45:24,161,78,211
2021-11-17 19:07:37,187,61,202
2021-11-17 19:44:33,145,65,240
2021-11-17 20:16:54,151,52,247
2021-11-17 21:31:35,146,37,267
2021-11-18 6:45:15,136,56,258
2021-11-18 7:17:08,155,59,236
2021-11-18 9:19:30,161,39,250
2021-11-18 10:02:12,149,57,244
2021-11-18 10:22:37,166,64,220
2021-11-18 11:55:11,146,69,235
2021-11-18 12:28:28,125,70,255
2021-11-18 14:34:20,123,79,248
2021-11-18 14:49:27,148,60,242
2021-11-18 15:03:17,131,63,256
2021-11-18 15:20:25,133,60,257
2021-11-18 15:33:01,127,49,274
2021-11-18 17:21:19,146,63,241
2021-11-18 17:41:34,150,53,247
2021-11-18 18:01:56,115,61,274
2021-11-18 18:16:03,163,58,229
2021-11-18 18:33:00,150,70,230
2021-11-18 20:18:06,137,64,249
2021-11-18 20:33:47,143,55,252
2021-11-18 22:25:44,137,65,248
2021-11-18 22:39:38,143,72,235
2021-11-19 6:31:44,146,21,283
2021-11-19 7:50:55,107,86,257
2021-11-19 8:11:16,107,75,268
2021-11-19 8:38:59,150,82,218
2021-11-19 9:08:54,161,61,228
2021-11-19 9:58:30,145,72,233
2021-11-19 10:16:44,124,59,267
2021-11-19 11:05:00,125,72,253
2021-11-19 11:52:42,140,62,248
2021-11-19 12:37:55,130,61,259
2021-11-19 13:21:59,164,69,217
2021-11-19 13:53:55,107,55,288
2021-11-19 14:45:58,145,62,243
2021-11-19 15:19:55,140,57,253
2021-11-19 15:36:30,117,74,259
2021-11-19 15:53:27,126,52,272
2021-11-19 16:25:31,110,52,288
2021-11-19 17:04:26,108,60,282
2021-11-19 17:47:38,125,77,248
2021-11-19 18:09:44,120,65,265
2021-11-20 10:36:59,153,74,223
2021-11-20 13:18:01,144,68,238
2021-11-20 13:44:12,133,40,277
2021-11-20 14:11:29,136,44,270
2021-11-20 17:38:02,114,55,281
2021-11-20 18:05:18,96,56,298
2021-11-20 18:44:56,164,54,2322021-11-20 19:10:17.345816,155,55,240
2021-11-20 19:24:34.862394,164,62,224
2021-11-20 19:42:23.295641,170,47,233
2021-11-20 20:09:53.207857,150,68,232
2021-11-20 20:47:48.827555,159,58,233
2021-11-20 21:11:22.522851,149,58,243
2021-11-21 14:48:50.703418,154,58,238
2021-11-21 15:24:20.819235,168,49,233
2021-11-21 15:35:51.569971,146,55,249
2021-11-21 15:53:20.069814,151,56,243
2021-11-21 16:03:12.481116,145,63,242
2021-11-21 16:18:30.795178,133,55,262
2021-11-21 16:30:06.313919,145,52,253
2021-11-21 16:47:01.135264,117,52,281
2021-11-21 20:52:01.687315,143,61,246
2021-11-22 06:50:21.133380,116,57,277
2021-11-22 07:41:39.697282,148,41,261
2021-11-22 16:59:01.130213,137,56,257
2021-11-22 17:08:57.539194,133,59,258
2021-11-22 18:22:13.454533,166,50,234
2021-11-23 05:21:03.433556,136,77,237
2021-11-23 05:48:10.529821,162,33,255
2021-11-23 06:16:37.321244,153,42,255
2021-11-23 07:39:57.515325,146,52,252
2021-11-23 08:12:24.687067,153,50,247
2021-11-23 08:36:45.280763,125,66,259
2021-11-23 09:22:47.632316,145,54,251
2021-11-23 09:58:08.759986,130,54,266
2021-11-23 12:34:04.031966,112,66,272
2021-11-23 13:25:09.228697,140,84,226
2021-11-23 16:10:10.747284,111,67,272
2021-11-23 17:38:48.505559,143,61,246
2021-11-24 04:00:41.682652,118,43,289
2021-11-24 06:01:35.663890,129,43,278
2021-11-24 07:25:38.284922,171,41,238
2021-11-24 07:58:51.658150,161,46,243
2021-11-24 09:31:27.262469,145,58,247
2021-11-24 10:13:41.566241,176,43,231
2021-11-24 11:37:45.039945,154,58,238
2021-11-24 12:47:58.251079,139,62,249
2021-11-24 13:35:36.000260,168,45,237
2021-11-24 14:23:53.615308,131,48,271
2021-11-24 14:44:55.072807,141,40,269
2021-11-24 15:40:59.019812,112,51,287
2021-11-24 16:17:39.699095,132,64,254
2021-11-24 18:04:00.366091,125,69,256
2021-11-24 18:46:58.393345,198,36,216
2021-11-25 08:24:50.102129,162,59,229
2021-11-25 08:56:17.794706,156,53,241
2021-11-25 09:19:21.925377,148,41,261
2021-11-25 10:24:30.237359,176,73,201
2021-11-25 11:24:05.745258,147,50,253
2021-11-25 11:48:45.846581,138,53,259
2021-11-25 12:11:51.574295,145,49,256
2021-11-25 12:32:36.505613,144,51,255
2021-11-25 13:09:32.344709,139,46,265
2021-11-25 13:49:05.705706,213,44,193
2021-11-25 14:14:10.107127,151,82,217
2021-11-25 14:39:27.113183,142,69,239
2021-11-25 15:11:34.028868,144,78,228
2021-11-25 15:38:18.040952,121,40,289
2021-11-25 16:12:56.941879,143,61,246
2021-11-25 16:54:13.130250,141,38,271
2021-11-25 19:45:11.012793,160,53,237
2021-11-25 20:46:40.516727,146,99,205
2021-11-26 07:26:59.392938,130,99,221
2021-11-26 08:44:29.376506,166,73,211
