date,pos,neg,neut
2021-11-17 12:21:22,110,34,306
2021-11-17 13:02:38,133,37,280
2021-11-17 13:32:42,144,43,263
2021-11-17 13:48:42,103,41,306
2021-11-17 14:14:12,145,35,270
2021-11-17 14:50:28,138,38,274
2021-11-17 16:34:18,104,46,300
2021-11-17 17:07:27,91,21,338
2021-11-17 17:35:33,112,25,313
2021-11-17 18:10:36,123,41,286
2021-11-17 18:28:56,129,53,268
2021-11-17 18:44:39,179,37,234
2021-11-17 19:08:04,127,29,294
2021-11-17 19:44:03,125,39,286
2021-11-17 20:17:33,122,31,297
2021-11-17 21:30:35,121,27,302
2021-11-18 6:45:47,136,34,280
2021-11-18 7:16:44,124,36,290
2021-11-18 9:20:04,87,37,326
2021-11-18 10:01:45,105,31,314
2021-11-18 10:23:15,93,34,323
2021-11-18 11:54:35,122,30,298
2021-11-18 12:28:53,134,35,281
2021-11-18 14:33:55,104,52,294
2021-11-18 14:49:57,100,38,312
2021-11-18 15:02:52,107,40,303
2021-11-18 15:20:55,121,58,271
2021-11-18 15:33:30,117,59,274
2021-11-18 17:20:55,134,49,267
2021-11-18 17:42:13,117,54,279
2021-11-18 18:01:22,108,47,295
2021-11-18 18:16:36,161,38,251
2021-11-18 18:32:32,219,25,206
2021-11-18 20:18:43,120,65,265
2021-11-18 20:33:20,125,51,274
2021-11-18 22:26:23,147,33,270
2021-11-18 22:39:09,130,34,286
2021-11-19 6:32:11,104,25,321
2021-11-19 7:50:27,85,90,275
2021-11-19 8:11:46,102,37,311
2021-11-19 8:38:35,141,37,272
2021-11-19 9:09:24,140,36,274
2021-11-19 9:58:00,133,32,285
2021-11-19 10:17:17,123,29,298
2021-11-19 11:04:32,104,37,309
2021-11-19 11:53:07,124,27,299
2021-11-19 12:37:19,125,40,285
2021-11-19 13:22:23,146,33,271
2021-11-19 13:53:26,133,29,288
2021-11-19 14:46:23,138,27,285
2021-11-19 15:19:29,134,30,286
2021-11-19 15:36:56,106,43,301
2021-11-19 15:53:03,121,30,299
2021-11-19 16:25:53,120,30,300
2021-11-19 17:04:03,114,25,311
2021-11-19 17:14:43,114,31,305
2021-11-19 17:14:43,114,31,305
2021-11-19 17:47:15,110,31,309
2021-11-19 18:10:07,109,36,305
2021-11-20 10:36:35,132,32,286
2021-11-20 13:18:25,113,36,301
2021-11-20 13:43:47,110,35,305
2021-11-20 14:11:50,109,33,308
2021-11-20 17:37:05,80,28,342
2021-11-20 18:06:13,101,39,310
2021-11-20 18:26:22,105,33,3122021-11-20 18:48:23.916461,112,35,303
2021-11-20 19:09:39.151698,110,39,301
2021-11-20 19:24:58.700590,129,31,290
2021-11-20 19:42:01.852385,129,72,249
2021-11-20 20:09:25.746859,155,46,249
2021-11-20 20:48:12.887773,155,37,258
2021-11-20 21:10:56.484980,135,65,250
2021-11-21 14:49:25.358866,129,38,283
2021-11-21 15:23:44.903190,94,48,308
2021-11-21 15:36:25.058700,115,44,291
2021-11-21 15:52:38.096280,132,48,270
2021-11-21 16:04:00.216535,120,47,283
2021-11-21 16:17:58.688790,96,33,321
2021-11-21 16:30:32.441555,99,65,286
2021-11-21 16:46:27.020486,134,45,271
2021-11-21 20:52:38.446356,150,56,244
2021-11-22 06:49:49.276553,163,29,258
2021-11-22 07:42:26.970624,120,29,301
2021-11-22 16:58:38.933088,113,63,274
2021-11-22 17:09:19.447348,126,57,267
2021-11-22 18:21:46.088534,153,56,241
2021-11-23 05:21:35.562801,122,77,251
2021-11-23 05:47:42.281419,120,34,296
2021-11-23 06:17:09.033187,127,27,296
2021-11-23 07:39:20.248285,121,45,284
2021-11-23 08:12:58.921755,164,30,256
2021-11-23 08:36:14.717784,130,33,287
2021-11-23 09:23:25.518781,137,36,277
2021-11-23 09:57:36.752235,145,39,266
2021-11-23 12:34:33.946680,103,40,307
2021-11-23 13:24:44.456615,122,42,286
2021-11-23 17:38:01.222336,126,45,279
2021-11-24 04:01:09.821661,107,48,295
2021-11-24 06:01:04.264732,128,37,285
2021-11-24 07:25:38.284922,171,41,238
2021-11-24 07:26:19.424371,137,33,280
2021-11-24 07:58:21.401714,124,61,265
2021-11-24 09:31:51.632297,131,42,277
2021-11-24 10:13:19.737606,134,39,277
2021-11-24 11:38:21.608424,99,39,312
2021-11-24 12:47:25.164706,136,21,293
2021-11-24 13:35:58.910595,151,30,269
2021-11-24 14:23:27.931091,141,43,266
2021-11-24 14:45:25.641149,135,38,277
2021-11-24 15:40:27.717157,129,38,283
2021-11-24 16:18:08.517312,115,46,289
2021-11-24 18:03:28.506211,136,42,272
2021-11-24 18:47:39.027279,128,38,284
2021-11-25 08:23:58.905251,149,35,266
2021-11-25 08:56:44.909728,149,27,274
2021-11-25 09:18:42.548873,148,24,278
2021-11-25 10:25:08.068700,166,34,250
2021-11-25 11:23:38.503443,133,29,288
2021-11-25 11:49:23.970311,103,39,308
2021-11-25 12:11:18.098575,114,29,307
2021-11-25 12:33:04.155440,160,38,252
2021-11-25 13:09:03.180707,130,33,287
2021-11-25 13:49:31.282302,139,38,273
2021-11-25 14:13:45.439121,151,43,256
2021-11-25 14:39:55.014526,144,45,261
2021-11-25 15:10:59.198510,138,40,272
2021-11-25 15:39:10.360354,144,29,277
2021-11-25 16:12:24.057560,165,34,251
2021-11-25 16:54:39.449138,147,42,261
2021-11-25 19:44:40.982561,167,27,256
2021-11-25 20:47:15.698296,183,26,241
2021-11-26 07:25:52.569082,138,40,272
2021-11-26 08:45:01.752931,139,35,276
